조회시각,모드,계좌,종목코드,종목명,보유수량,평균매수가,현재가,평가금액,평가손익률(%)
2026-06-22 14:06:18,모의,(비공개),000100,유한양행,180,73362,73200,13176000,-0.22
2026-06-22 14:06:18,모의,(비공개),017800,현대엘리베이터,167,74286,74550,12449850,0.36
2026-06-22 14:06:18,모의,(비공개),021240,코웨이,147,86532,86100,12656700,-0.5
2026-06-22 14:06:18,모의,(비공개),024110,기업은행,728,20698,20600,14996800,-0.47
2026-06-22 14:06:18,모의,(비공개),030000,제일기획,943,18812,18765,17695395,-0.25
2026-06-22 14:06:18,모의,(비공개),030200,KT,259,52782,52700,13649300,-0.16
2026-06-22 14:06:18,모의,(비공개),032580,피델릭스,237,5889,6290,1490730,6.79
2026-06-22 14:06:18,모의,(비공개),032640,LG유플러스,899,14586,14540,13071460,-0.32
2026-06-22 14:06:18,모의,(비공개),033780,KT&G,96,176046,175400,16838400,-0.37
2026-06-22 14:06:18,모의,(비공개),035250,강원랜드,1412,14909,14915,21059980,0.04
2026-06-22 14:06:18,모의,(비공개),036460,한국가스공사,451,33743,33750,15221250,0.02
2026-06-22 14:06:18,모의,(비공개),051900,LG생활건강,56,227964,227500,12740000,-0.2
2026-06-22 14:06:18,모의,(비공개),055550,신한지주,129,97955,98400,12693600,0.45
2026-06-22 14:06:18,모의,(비공개),086790,하나금융지주,102,119154,119400,12178800,0.21
2026-06-22 14:06:18,모의,(비공개),088980,맥쿼리인프라,2237,10619,10610,23734570,-0.09
2026-06-22 14:06:18,모의,(비공개),097950,CJ제일제당,81,189006,188900,15300900,-0.06
2026-06-22 14:06:18,모의,(비공개),138930,BNK금융지주,1445,17056,17060,24651700,0.02
2026-06-22 14:06:18,모의,(비공개),139130,iM금융지주,1336,16500,16500,22044000,-0.0
2026-06-22 14:06:18,모의,(비공개),159010,아스플로,72,22737,22500,1620000,-1.04
2026-06-22 14:06:18,모의,(비공개),207940,삼성바이오로직스,18,1296611,1296000,23328000,-0.05

2026-06-22 14:06:18,모의,(비공개),요약,보유 20종목,,,,501502840,
